"Cohort","Replication","KNN","LR","MLP"
"TCGA-BRCA","1","0.530131826741996","0.71563088512241","0.587413684871312"
"TCGA-BRCA","2","0.504708097928437","0.644224733207784","0.563559322033898"
"TCGA-BRCA","3","0.557909604519774","0.630257376020088","0.489799121155053"
"TCGA-BRCA","4","0.510357815442561","0.599811676082862","0.426396735718769"
"TCGA-BRCA","5","0.519067796610169","0.686911487758945","0.568267419962335"
"TCGA-BRCA","6","0.510357815442561","0.643596986817326","0.540175768989328"
"TCGA-BRCA","7","0.493408662900188","0.655367231638418","0.481952291274325"
"TCGA-BRCA","8","0.507532956685499","0.585530445699937","0.528719397363465"
"TCGA-BRCA","9","0.505414312617702","0.575172630257376","0.552730696798493"
"TCGA-BRCA","10","0.528248587570621","0.561676082862523","0.495134965473948"
"TCGA-BRCA","11","0.507532956685499","0.650659133709981","0.642969240426868"
"TCGA-BRCA","12","0.589689265536723","0.674042686754551","0.603578154425612"
"TCGA-BRCA","13","0.52424670433145","0.606089139987445","0.513182674199623"
"TCGA-BRCA","14","0.542843691148776","0.746076585059636","0.496390458254865"
"TCGA-BRCA","15","0.609227871939736","0.692875078468299","0.545354676710608"
"TCGA-BRCA","16","0.490112994350283","0.5","0.483050847457627"
"TCGA-BRCA","17","0.513653483992467","0.659447583176397","0.484149403640929"
"TCGA-BRCA","18","0.51789077212806","0.654111738857501","0.481167608286252"
"TCGA-BRCA","19","0.56756120527307","0.620056497175141","0.472379158819836"
"TCGA-BRCA","20","0.550376647834275","0.644538606403013","0.540175768989328"
"TCGA-BRCA","21","0.48728813559322","0.602322661644695","0.575643440050219"
"TCGA-BRCA","22","0.483050847457627","0.683772755806654","0.607187696170747"
"TCGA-BRCA","23","0.469632768361582","0.647677338355304","0.50721908349027"
"TCGA-BRCA","24","0.534133709981168","0.69428750784683","0.459667294413057"
"TCGA-BRCA","25","0.57015065913371","0.609227871939736","0.573132454488386"
"TCGA-BRCA","26","0.515065913370998","0.582234777150031","0.542843691148776"
"TCGA-BRCA","27","0.45668549905838","0.682988072818581","0.453389830508475"
"TCGA-BRCA","28","0.527071563088512","0.638731952291274","0.46563088512241"
"TCGA-BRCA","29","0.557909604519774","0.663684871311989","0.455900816070308"
"TCGA-BRCA","30","0.559086629001883","0.632611424984306","0.583019460138104"
"TCGA-BRCA","31","0.450564971751412","0.647991211550534","0.587256748273697"
"TCGA-BRCA","32","0.562146892655367","0.647049591964846","0.519774011299435"
"TCGA-BRCA","33","0.48210922787194","0.682831136220967","0.49623352165725"
"TCGA-BRCA","34","0.498352165725047","0.595417451349655","0.592592592592593"
"TCGA-BRCA","35","0.559557438794727","0.624607658505963","0.586472065285624"
"TCGA-BRCA","36","0.511770244821092","0.72834274952919","0.610797237915882"
"TCGA-BRCA","37","0.50894538606403","0.614249843063402","0.524011299435028"
"TCGA-BRCA","38","0.478578154425612","0.653954802259887","0.55657564344005"
"TCGA-BRCA","39","0.547787193973635","0.586629001883239","0.566227244193346"
"TCGA-BRCA","40","0.525894538606403","0.706999372253609","0.483207784055241"
"TCGA-BRCA","41","0.506591337099812","0.629786566227244","0.461550533584432"
"TCGA-BRCA","42","0.507768361581921","0.651129943502825","0.516007532956685"
"TCGA-BRCA","43","0.512005649717514","0.638418079096045","0.550690521029504"
"TCGA-BRCA","44","0.491525423728814","0.628374136848713","0.542686754551161"
"TCGA-BRCA","45","0.516949152542373","0.67263025737602","0.518832391713747"
